record_id,db_source,author,year,title,doi,,reviewer1,reviewer2,reviewer3,exclusion_reason
178,CENTRAL,nan,2018,Use of Coconut Nourish and Queen Garnet Plum to Improve Health in an Elderly Population,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
179,CENTRAL,nan,2018,Investigating the Acute Effects of Blueberry (Poly)Phenols on Vascular Function and Cognition in Healthy Individuals,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
180,CENTRAL,nan,2012,Study of Chokeberry to Reduce Cardiovascular Disease Risk in Former Smokers,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
181,CENTRAL,nan,2015,Effects of Cranberry Consumption in Vascular Function in Healthy Individuals,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
182,CENTRAL,nan,2015,Investigation on the Sustained Effect of Anthocyanins on Endothelial Function in Postmenopausal Women,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
183,CENTRAL,nan,2015,"Effects of Blueberry-polyphenols on Endothelial Function, Absorption and Metabolism",nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
184,CENTRAL,Finkel MLSanchez SMak TGranstein JLefkowitz A,2013,Anthocyanin-Rich Purple Corn Extract and Its Effects on the Blood Pressure of Adults,https://doi.org/10.1177/2156587213482942,,include,include,include,
185,CENTRAL,nan,2018,To Assess the Influence of Aronox on Parameters Associated With Recovery Following Muscle Damaging Exercise,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
186,CENTRAL,Rautiainen SWang LLee I-MBuring JESesso HD,2017,Longitudinal changes in berry intake and the risk of cardiovascular disease in women,nan,,exclude,exclude,exclude,Observational design
187,CENTRAL,Lewis JEMelillo ABTiozzo EChen LLeonard SHowell MDiaz JGonzalez KWoolger JMKonefal JPaterson EBarnes D,2014,"A double-blind, randomized clinical trial of dietary supplementation on cognitive and immune functioning in healthy older adults",https://doi.org/10.1186/1472-6882-14-43,,exclude,exclude,exclude,Other reason not meeting eligibility criteria
188,CENTRAL,Johnson SANavaei NPourafshar SJaime SJAkhavan NSAlvarez-Alvarado SLitwin NSElam MLPayton MEArjmandi BHFigueroa A,2017,"Effects of tart cherry juice on brachial and aortic hemodynamics, arterial stiffness, and blood biomarkers of cardiovascular health in adults with metabolic syndrome",nan,,exclude,include,include,Other reason not meeting eligibility criteria
189,CENTRAL,nan,2018,Aronia Berry Consumption on Blood Pressure,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
190,CENTRAL,nan,2017,Aronia Berry Consumption on Vascular Function,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
191,CENTRAL,Castro-Acosta MLStone SGMok JEMhajan RKFu C-ILenihan-Geels GNHall WL,2016,Acute effects of apple and blackcurrant polyphenol-rich extracts on postprandial glycaemia and vascular function in healthy men and women,https://doi.org/10.1017/s0029665116000355,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
192,CENTRAL,Sutulic SBosch CMarshall LBordoni AHingyi HMuller MOrfila C,2016,Effects of a 4-week intervention with ready-made bioactive enriched pancakes on biomarkers of the metabolic syndrome,https://doi.org/10.1017/s0029665116000513,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
193,CENTRAL,McAnulty LPike JCollier SRThompson KLMcAnulty SR,2018,Time course of blueberry ingestion on measures of arterial stiffness and blood pressure,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
194,CENTRAL,nan,2019,Investigating the Effects of Daily Consumption of Blueberry (Poly)Phenols on Vascular Function and Cognitive Performance,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
195,CENTRAL,nan,2015,Anthocyanin-rich Blackcurrant and Vascular Function,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
196,CENTRAL,nan,2016,Purified Anthocyanins Supplementation and High-Density Lipoprotein (HDL) Function,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
197,CENTRAL,nan,2017,Dose-Dependent Effects of Anthocyanins on Endothelial Function in Healthy Men,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
198,CENTRAL,nan,2019,Effects of Aronia Berries on Vascular Endothelial Function and the Gut Microbiota in Middle-Aged/Older Adults,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
199,CENTRAL,nan,2012,The Effects of California Strawberries on Parameters of Cardiovascular Health,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
200,CENTRAL,nan,2016,Cranberry (Poly)Phenol Consumption on Vascular Function,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
201,CENTRAL,Igwe EOCharlton KERoodenrys SKent KNetzel MFanning K,2017,"Acute effect of Queen Garnet plum juice on blood pressure, cognition, and urinary metabolite excretion",https://doi.org/10.1016/j.jnim.2017.04.081,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
202,CENTRAL,nan,2021,EFFICACY OF MORUS ALBA FRUIT EXTRACTS AND CHLORHEXIDINE ON SALIVARY STREPTOCOCCUS MUTANS AND pH LEVELS,nan,,exclude,exclude,exclude,Other reason not meeting eligibility criteria
203,CENTRAL,nan,2022,Comparison of Plant-based or Animal-based Protein on Anthropocentric and Metabolic Parameters in Obese Subjects,nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
204,CENTRAL,nan,2012,"Flavonoids, Blood Pressure and Blood Vessel Function",nan,,exclude,exclude,exclude,"Protocol, abstract or other non-report"
